host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
9293170,1.3361,103.73605,7,4,0.15,14,361,2,3,False,True,False,210.01162790697674
122455608,1.36102,103.74728,3,0,0.0,1,0,2,0,False,True,False,97.95555555555555
33003286,1.29519,103.76575,5,11,0.51,2,63,4,4,False,True,False,167.29166666666666
57478948,1.2999,103.76552,1,0,0.0,2,0,4,4,False,True,False,167.29166666666666
66406177,1.33405,103.74332,30,0,0.0,274,339,2,3,True,False,False,210.01162790697674
183511167,1.33816,103.70467,3,0,0.0,8,365,2,0,False,True,False,92.3061224489796
56683818,1.34287,103.70175,30,24,2.32,1,364,2,0,False,True,False,92.3061224489796
24103607,1.35717,103.76889,30,0,0.0,1,0,2,2,True,False,False,473.6
27735247,1.29645,103.76807,2,2,0.13,3,365,4,0,True,False,False,167.29166666666666
46815723,1.34589,103.74904,30,0,0.0,1,180,2,0,True,False,False,97.95555555555555
146100311,1.34413,103.73288,3,1,0.29,10,365,2,4,False,True,False,210.01162790697674
6954638,1.29461,103.76891,5,3,0.08,9,354,4,4,False,False,True,167.29166666666666
72139700,1.34631,103.72518,1,1,0.07,1,361,2,4,False,True,False,92.3061224489796
283510163,1.34235,103.7168,4,0,0.0,1,365,2,4,False,True,False,92.3061224489796
60077959,1.33984,103.74576,30,0,0.0,4,364,2,3,True,False,False,210.01162790697674
183511167,1.33735,103.70476,2,1,0.81,8,362,2,0,False,True,False,92.3061224489796
160839396,1.35368,103.7211,2,0,0.0,1,0,2,4,False,False,True,92.3061224489796
152267975,1.33588,103.74204,5,0,0.0,11,0,2,3,True,False,False,210.01162790697674
228867,1.34294,103.71752,3,1,0.03,7,362,2,3,False,True,False,92.3061224489796
156409670,1.31279,103.75893,3,0,0.0,78,364,4,2,True,False,False,167.29166666666666
21386285,1.3439,103.73391,5,2,0.28,15,90,2,3,False,True,False,210.01162790697674
183511167,1.33748,103.70597,1,0,0.0,8,357,2,0,False,True,False,92.3061224489796
6954638,1.29396,103.76872,5,6,0.17,9,352,4,4,False,False,True,167.29166666666666
66406177,1.33555,103.74417,7,1,0.91,274,0,2,3,True,False,False,210.01162790697674
166129186,1.34222,103.76014,2,1,0.05,1,0,2,1,False,True,False,97.95555555555555
9293170,1.34669,103.72327,5,6,0.21,14,0,2,3,False,True,False,92.3061224489796
6315161,1.34293,103.73366,5,2,0.74,1,0,2,1,False,True,False,210.01162790697674
104591658,1.29878,103.76656,30,0,0.0,1,83,4,2,True,False,False,167.29166666666666
136902928,1.33302,103.74235,1,0,0.0,1,0,2,4,False,True,False,210.01162790697674
270278864,1.33906,103.70654,2,1,0.57,2,87,2,0,False,True,False,92.3061224489796
60709858,1.34697,103.72212,1,0,0.0,1,0,2,0,False,False,True,92.3061224489796
49592761,1.32103,103.76504,1,0,0.0,1,0,4,1,False,True,False,167.29166666666666
8363779,1.36895,103.76637,2,1,0.02,2,26,2,3,False,True,False,473.6
51540554,1.35199,103.72251,3,1,0.05,1,0,2,1,True,False,False,92.3061224489796
109433419,1.40121,103.7519,2,52,1.65,1,363,2,1,False,True,False,95.67391304347827
19710549,1.34187,103.71115,2,0,0.0,1,0,2,3,False,True,False,92.3061224489796
6689302,1.37362,103.76625,30,0,0.0,2,256,2,3,False,True,False,473.6
189519225,1.36705,103.77533,1,3,0.51,1,193,2,4,False,True,False,473.6
82768938,1.35205,103.75721,30,0,0.0,1,83,2,1,False,True,False,97.95555555555555
45527642,1.29957,103.76597,1,0,0.0,2,90,4,4,False,True,False,167.29166666666666
124827904,1.33498,103.74293,5,5,0.83,6,70,2,3,False,True,False,210.01162790697674
14582974,1.39834,103.74972,30,0,0.0,1,365,2,3,False,True,False,95.67391304347827
253786274,1.34021,103.70503,30,1,0.21,1,88,2,1,False,True,False,92.3061224489796
9293170,1.34651,103.72171,5,9,0.32,14,365,2,1,True,False,False,92.3061224489796
41679313,1.32303,103.73898,1,1,0.06,1,263,2,2,False,True,False,210.01162790697674
20872645,1.35726,103.75876,30,0,0.0,2,234,2,2,False,True,False,97.95555555555555
5486015,1.34335,103.71737,1,0,0.0,1,0,2,3,False,True,False,92.3061224489796
