host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
135756776,1.2907,103.84165,6,20,0.8,22,282,0,1,True,False,False,189.97619047619048
832289,1.27845,103.84168,4,1,0.04,1,0,0,1,True,False,False,146.74922600619195
189449378,1.2942,103.82977,2,5,0.49,26,235,0,2,True,False,False,207.37857142857143
66406177,1.33149,103.86624,30,0,0.0,274,240,7,1,True,False,False,165.6
176676798,1.28672,103.84751,2,6,0.53,4,295,0,4,False,False,True,189.97619047619048
35119444,1.278,103.83867,2,6,2.86,4,62,0,0,True,False,False,153.31270358306188
28801530,1.29395,103.84165,2,10,1.59,1,57,0,4,False,True,False,171.55648535564853
230280001,1.27641,103.83673,3,2,1.76,18,61,0,1,False,True,False,153.31270358306188
152646149,1.30086,103.85324,28,0,0.0,1,0,0,4,False,True,False,198.18934911242604
212039019,1.28612,103.83365,1,0,0.0,7,359,0,4,False,False,True,153.31270358306188
61315957,1.29647,103.84406,1,9,0.25,1,0,0,1,False,True,False,203.7826086956522
109923209,1.30531,103.90378,1,1,0.12,2,85,1,0,True,False,False,149.11
8948251,1.30996,103.86254,18,1,0.11,83,359,7,0,False,True,False,163.18349928876245
209913841,1.31579,103.85417,28,0,0.0,157,341,7,0,True,False,False,163.18349928876245
32798595,1.28555,103.85351,30,0,0.0,41,365,0,4,False,True,False,197.59271523178808
264191580,1.31608,103.85376,1,2,2.0,2,88,3,1,True,False,False,163.18349928876245
156409670,1.32027,103.88166,30,0,0.0,78,364,7,0,True,False,False,168.4436090225564
3234859,1.30495,103.86233,1,53,3.73,9,139,7,4,False,True,False,163.18349928876245
47723162,1.36445,103.83159,3,2,0.05,2,0,3,1,True,False,False,187.7948717948718
66406177,1.29854,103.83413,30,3,0.47,274,256,0,3,True,False,False,171.55648535564853
210617633,1.31415,103.88324,1,12,2.02,1,107,7,2,True,False,False,168.4436090225564
15656468,1.32513,103.85368,2,3,0.16,1,0,3,1,True,False,False,174.6969696969697
253217128,1.30179,103.86003,1,1,0.7,7,365,7,4,False,False,True,198.18934911242604
32528497,1.30542,103.86527,5,1,0.04,1,0,7,3,True,False,False,163.18349928876245
50753560,1.30619,103.78394,1,0,0.0,1,0,4,4,False,True,False,143.05759162303664
66406177,1.27579,103.8454,7,0,0.0,274,0,0,3,True,False,False,197.59271523178808
1277954,1.30177,103.89871,14,0,0.0,1,0,1,2,True,False,False,149.11
33096269,1.31124,103.88693,3,34,1.84,14,52,7,4,False,True,False,168.4436090225564
62621831,1.31525,103.85296,1,0,0.0,1,0,3,4,False,True,False,163.18349928876245
35691521,1.31149,103.87824,2,0,0.0,45,317,7,0,True,False,False,168.4436090225564
250510187,1.3436,103.77051,2,4,1.1,7,346,2,2,True,False,False,172.71764705882353
28788520,1.30628,103.78515,30,0,0.0,7,279,4,3,False,True,False,143.05759162303664
8492007,1.3143,103.8975,3,2,0.21,203,41,1,2,True,False,False,168.4436090225564
211434941,1.2976,103.85499,1,1,0.11,7,361,0,4,False,True,False,197.59271523178808
14521708,1.3155,103.88596,30,59,0.96,67,86,7,1,True,False,False,168.4436090225564
29420853,1.31206,103.8859,10,1,0.13,141,365,7,3,True,False,False,168.4436090225564
201034613,1.32056,103.86547,20,0,0.0,67,365,7,0,True,False,False,163.18349928876245
9436844,1.30767,103.88146,2,0,0.0,1,0,7,4,False,True,False,168.4436090225564
112334807,1.27799,103.85002,1,7,0.43,3,156,0,2,True,False,False,197.59271523178808
