host_id,latitude,longitude,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365,location_cluster,naming_cluster,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,neighbourhood_encoded
206769167,1.31708,103.906,3,5,0.4,3,148,6,0,False,True,False,156.624
145442500,1.32159,103.91576,3,0,0.0,7,0,6,2,True,False,False,156.624
68059127,1.31869,103.91278,3,0,0.0,21,337,6,0,False,True,False,156.624
208879398,1.33737,103.92061,2,25,2.43,2,56,7,1,True,False,False,156.624
258870082,1.30725,103.91176,5,2,0.56,4,180,6,0,False,True,False,156.624
8294025,1.31291,103.94232,1,0,0.0,1,365,7,1,False,True,False,156.624
108773366,1.30856,103.91127,1,0,0.0,109,358,6,0,False,True,False,156.624
77033455,1.32032,103.92187,1,3,0.13,4,365,6,0,False,True,False,156.624
225705538,1.32696,103.94452,2,0,0.0,2,119,7,2,False,True,False,156.624
60149986,1.37883,103.95915,1,0,0.0,1,365,7,1,True,False,False,93.85106382978724
163555459,1.31348,103.92636,2,58,2.93,3,288,6,3,False,True,False,156.624
68059127,1.32516,103.9146,3,0,0.0,21,179,6,0,False,True,False,156.624
101040883,1.31235,103.92312,1,7,2.53,6,303,6,0,True,False,False,156.624
68059127,1.31857,103.91231,3,2,1.07,21,344,6,0,False,True,False,156.624
55973390,1.33063,103.90893,30,1,0.24,1,184,6,0,True,False,False,156.624
29302892,1.31551,103.94468,1,0,0.0,1,0,7,1,False,False,True,156.624
163258181,1.32241,103.91374,30,0,0.0,5,365,6,4,False,True,False,156.624
103300843,1.32254,103.91947,30,2,0.06,1,89,6,0,False,True,False,156.624
108773366,1.30767,103.91143,1,3,0.19,109,358,6,0,False,True,False,156.624
31731290,1.32411,103.9153,3,32,2.11,5,2,6,4,False,True,False,156.624
3274080,1.3076,103.9118,2,53,4.06,2,14,6,1,True,False,False,156.624
4705949,1.32823,103.94835,3,21,0.35,13,73,7,1,False,True,False,156.624
24496358,1.32112,103.91641,3,3,0.06,24,350,6,0,False,True,False,156.624
30080617,1.34632,103.96221,2,64,3.03,7,0,7,0,False,True,False,107.15384615384616
182179441,1.32118,103.92055,1,14,1.94,2,0,6,0,False,True,False,156.624
158044210,1.37033,103.94525,30,11,0.88,1,0,7,3,False,True,False,93.85106382978724
61500222,1.312,103.91178,1,0,0.0,1,365,6,1,False,True,False,156.624
31731290,1.32287,103.91336,3,40,2.48,5,16,6,4,False,True,False,156.624
68059127,1.31933,103.9145,3,1,0.36,21,350,6,0,False,True,False,156.624
269348690,1.33522,103.90503,2,6,4.09,3,35,6,0,False,True,False,156.624
30459439,1.3242,103.91297,30,1,0.7,1,299,6,2,False,True,False,156.624
21389521,1.31729,103.91104,1,2,0.21,1,0,6,4,False,True,False,156.624
108773366,1.30861,103.91147,1,3,0.18,109,358,6,0,False,True,False,156.624
50819334,1.32429,103.93592,1,0,0.0,1,0,7,0,False,True,False,156.624
951965,1.36132,103.93392,1,2,1.11,2,360,7,0,False,True,False,107.15384615384616
108773366,1.30818,103.9115,1,3,0.18,109,358,6,0,False,True,False,156.624
4705949,1.34159,103.95868,4,41,0.75,13,55,7,1,False,True,False,107.15384615384616
61506737,1.31161,103.91139,1,0,0.0,1,365,6,1,False,True,False,156.624
